full_name,position,sleeper_adp,espn_adp,spread
Malachi Fields,WR,175.0,170.08,4.9199999999999875
Derrick Henry,RB,22.0,17.2,4.800000000000001
Keaton Mitchell,RB,174.0,169.26,4.740000000000009
Rachaad White,RB,123.0,127.63,4.6299999999999955
Trevor Lawrence,QB,92.0,96.62,4.6200000000000045
Christian McCaffrey,RB,3.0,7.62,4.62
Kyren Williams,RB,33.0,37.51,4.509999999999998
Cam Skattebo,RB,41.0,45.3,4.299999999999997
Joe Burrow,QB,51.0,54.96,3.960000000000001
Rashee Rice,WR,31.0,27.21,3.789999999999999
Travis Etienne,RB,39.0,42.6,3.6000000000000014
Malik Nabers,WR,38.0,34.51,3.490000000000002
Pat Bryant,WR,167.0,170.4,3.4000000000000057
Jordan Mason,RB,136.0,139.36,3.3600000000000136
Amon-Ra St. Brown,WR,5.0,8.33,3.33
James Cook,RB,14.0,10.82,3.1799999999999997
Ryan Flournoy,WR,168.0,171.09,3.0900000000000034
Justin Herbert,QB,95.0,92.03,2.969999999999999
George Pickens,WR,26.0,28.96,2.960000000000001
Wan'Dale Robinson,WR,118.0,115.47,2.530000000000001
Justin Jefferson,WR,15.0,12.55,2.4499999999999993
De'Von Achane,RB,10.0,12.09,2.09
D'Andre Swift,RB,58.0,55.94,2.0600000000000023
Ja'Marr Chase,WR,6.0,4.24,1.7599999999999998
Jalen Hurts,QB,55.0,53.33,1.6700000000000017
Jonathan Taylor,RB,8.0,6.59,1.4100000000000001
Kenneth Walker,RB,23.0,24.34,1.3399999999999999
Puka Nacua,WR,4.0,5.29,1.29
Chase Brown,RB,17.0,18.27,1.2699999999999996
Geno Smith,QB,169.0,170.08,1.0800000000000125
Jaxon Smith-Njigba,WR,7.0,6.09,0.9100000000000001
Deshaun Watson,QB,171.0,170.09,0.9099999999999966
Ladd McConkey,WR,48.0,47.24,0.759999999999998
DJ Moore,WR,63.0,62.3,0.7000000000000028
Drake London,WR,19.0,19.7,0.6999999999999993
Dak Prescott,QB,76.0,75.41,0.5900000000000034
CeeDee Lamb,WR,11.0,11.5,0.5
Jalen McMillan,WR,166.0,165.6,0.4000000000000057
Bijan Robinson,RB,2.0,2.4,0.3999999999999999
Jahmyr Gibbs,RB,1.0,1.36,0.3600000000000001
