full_name,position,team,adp_overall,adp_position,sleeper_proj_pts_week1,lag1_room40_pts,lag1_pts_per_game,lag1_games,lag1_target_share,lag1_snap_share_avg,projected_room40_pts,model_used,new_oc,coach_proe_signature,team_changed,player_type,replacement_value,vorp,vorp_rank,adp_rank,value_gap,injury_shortened_2025,lag1_pace_adj_pts,elite_mover_2026
Jordyn Tyson,WR,NO,95.0,43.0,,,,,,,138.27597323604178,rookie_prior_ridge,0,,0,rookie,135.8305514016934,2.445421834348366,79.0,95.0,16.0,False,,False
Jaylen Warren,RB,PIT,48.0,18.0,12.51,217.1,13.56875,16.0,0.128288929580752,0.504705882352941,157.99717545904232,RB_ridge,0,-6.551421263838917,0,veteran,156.1167596867138,1.8804157723285186,80.0,48.0,-32.0,False,230.66875,False
Troy Franklin,WR,DEN,190.0,82.0,5.64,177.1,10.4176470588235,17.0,0.212793657692202,0.572777777777778,135.8305514016934,WR_lgbm,0,1.6623237357923664,0,veteran,135.8305514016934,0.0,81.0,188.0,107.0,False,177.09999999999948,False
Rhamondre Stevenson,RB,NE,89.0,28.0,11.05,178.8,12.7714285714286,14.0,0.122753954248972,0.617777777777778,156.1167596867138,RB_ridge,1,-5.244402479179989,0,veteran,156.1167596867138,0.0,81.0,89.0,8.0,False,217.1142857142862,False
Theo Johnson,TE,NYG,186.0,33.0,5.3,127.8,8.52,15.0,0.19195028502204,0.867333333333333,137.2432429488599,TE_gbm,0,-3.3189211254310966,0,veteran,137.2432429488599,0.0,81.0,184.0,103.0,False,144.84,False
C.J. Stroud,QB,HOU,127.0,19.0,18.93,216.54,15.4671428571429,14.0,0.0,0.923125,212.80908857304937,QB_ridge,0,-2.5050011258412974,0,veteran,212.80908857304937,0.0,81.0,127.0,46.0,False,262.9414285714293,False
Michael Pittman,WR,PIT,86.0,39.0,10.28,202.4,11.9058823529412,17.0,0.240760434919222,0.855294117647059,134.66201254404626,WR_lgbm,0,-6.551421263838917,1,veteran,135.8305514016934,-1.1685388576471496,85.0,86.0,1.0,False,202.4000000000004,False
Baker Mayfield,QB,TB,117.0,18.0,19.29,282.92,16.6423529411765,17.0,0.0,0.971176470588235,210.9402808983646,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,-1.8688076746847742,86.0,117.0,31.0,False,282.9200000000005,False
KC Concepcion,WR,CLE,126.0,56.0,,,,,,,133.8672268556256,rookie_prior_ridge,0,,0,rookie,135.8305514016934,-1.9633245460678097,87.0,126.0,39.0,False,,False
Cam Skattebo,RB,NYG,71.0,24.0,11.83,127.7,15.9625,8.0,0.167697406759907,0.5225,153.68532981461527,RB_ridge,0,-3.3189211254310966,0,veteran,156.1167596867138,-2.4314298720985335,88.0,71.0,-17.0,True,271.3625,False
Jauan Jennings,WR,MIN,122.0,54.0,8.85,173.3,11.5533333333333,15.0,0.20809266873968,0.827058823529412,133.2704471931084,WR_lgbm,0,2.6816146451914005,1,veteran,135.8305514016934,-2.5601042085850167,89.0,122.0,33.0,False,196.40666666666613,False
Luther Burden,WR,CHI,40.0,18.0,12.26,127.9,8.52666666666667,15.0,0.167374459250066,0.418235294117647,133.17699063476232,WR_lgbm,1,-4.79011169771107,0,veteran,135.8305514016934,-2.6535607669310934,90.0,40.0,-50.0,False,144.9533333333334,False
Travis Kelce,TE,KC,44.0,5.0,11.38,193.2,11.3647058823529,17.0,0.216993296827174,0.818823529411765,134.09567954315955,TE_gbm,0,5.300602599522808,0,veteran,137.2432429488599,-3.147563405700339,91.0,44.0,-47.0,False,193.1999999999993,False
Jayden Higgins,WR,HOU,104.0,49.0,9.81,129.5,7.61764705882353,17.0,0.174807771335619,0.582631578947368,132.50285897437428,WR_lgbm,0,-2.5050011258412974,0,veteran,135.8305514016934,-3.3276924273191355,92.0,104.0,12.0,False,129.5,False
Sam Darnold,QB,SEA,137.0,21.0,18.62,249.42,14.6717647058824,17.0,0.0,0.962,209.45063439166896,QB_ridge,1,-2.673629810734993,0,veteran,212.80908857304937,-3.3584541813804094,93.0,137.0,44.0,False,249.42000000000078,False
Parker Washington,WR,JAX,80.0,37.0,10.49,172.7,10.79375,16.0,0.250936645065578,0.619411764705882,130.37672479168384,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,-5.453826610009571,94.0,80.0,-14.0,False,183.49374999999998,False
Jordan Love,QB,GB,114.0,17.0,19.44,241.14,16.076,15.0,0.0,0.94625,207.27286275725447,QB_ridge,0,-4.223375364931628,0,veteran,212.80908857304937,-5.536225815794893,95.0,114.0,19.0,False,273.29200000000003,False
Jared Goff,QB,DET,84.0,10.0,20.71,305.06,17.9447058823529,17.0,0.0,0.985294117647059,204.9792427373109,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,-7.8298458357384675,96.0,84.0,-12.0,False,305.05999999999926,False
Ricky Pearsall,WR,SF,118.0,52.0,8.99,88.6,9.84444444444444,9.0,0.202495955072736,0.773,125.37656367860068,WR_lgbm,0,-2.673629810734993,0,veteran,135.8305514016934,-10.453987723092737,97.0,118.0,21.0,True,167.35555555555547,False
Makai Lemon,WR,PHI,138.0,59.0,,,,,,,124.45514329161888,rookie_prior_ridge,0,,0,rookie,135.8305514016934,-11.375408110074531,98.0,138.0,40.0,False,,False
Lamar Jackson,QB,BAL,82.0,9.0,20.72,221.86,17.0661538461538,13.0,0.0,0.922307692307692,201.3917084603761,QB_ridge,0,0.4558089730608386,0,veteran,212.80908857304937,-11.417380112673271,99.0,82.0,-17.0,False,290.1246153846146,False
Tony Pollard,RB,TEN,113.0,31.0,10.02,185.8,10.9294117647059,17.0,0.104291874014058,0.624705882352941,144.63325478861296,RB_ridge,0,-6.68407505908549,0,veteran,156.1167596867138,-11.483504898100847,100.0,113.0,13.0,False,185.8000000000003,False
Christian Watson,WR,GB,54.0,27.0,11.46,132.4,13.24,10.0,0.222585704792008,0.688181818181818,123.86883773891012,WR_lgbm,0,-4.223375364931628,0,veteran,135.8305514016934,-11.961713662783296,101.0,54.0,-47.0,True,225.08,False
